"","id1","n_varieties","share_area_local","share_area_improved","xx2_xx3","xx2","per_hib_bush","per_hib_climbers","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d11","d12","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","cor_c","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","bush","climber","area_no_title","area_own_title","area_renting","area_share_croping","renting","own_title","own_notitle","share_croping","share_area_imp_var","cor_c.1","mean_p_beans_year_2015","mean_p_maize_year_2015","mean_p_sorghum_year_2015","mean_p_sp_year_2015","hhid"
"1668","60560603040027_2",1,100,0,53.33333333,100,0,0,0,0,53.33333333,0,0,0,50,2,50,1,60,0,4,0,0,0,0,0,0,3,21,0,0,0,0,0,375,37500,750,0,0,0,0,0,1,0,0,750,0,0,0,1,0,0,0,750,381.1196747,160.9013443,266.35098265,115.5936203,"60560603040027"
"1669","60560603040031_1",1,0,100,19.16666667,100,0,0,19.16666667,0,0,0,0,0,40,3,0,1,60,0,4,0,0,0,0,0,0,3,8,21,0,0,0,0,1200,120000,3000,0,0,0,0,0,1,0,0,3000,0,0,0,1,0,0,100,3000,388.2729645,158.09981535,267.43105315,116.16996,"60560603040031"
"1670","60560603040031_2",1,0,100,127.7777778,100,0,0,127.7777778,0,0,0,0,0,30,3,0,1,30,0,4,0,0,0,0,0,0,3,8,21,0,0,0,0,180,18000,600,0,0,0,0,0,1,0,0,0,0,600,0,0,0,1,100,600,388.2729645,158.09981535,267.43105315,116.16996,"60560603040031"
"1671","60560603040031_3",1,0,100,58.4835297882735,100,0,0,58.4835297882735,0,0,0,0,0,40,3,0,1,30,0,4,0,0,0,0,0,0,3,8,21,0,0,0,0,60,6000,150,0,0,0,0,0,1,0,0,0,0,150,0,0,0,1,100,150,388.2729645,158.09981535,267.43105315,116.16996,"60560603040031"
"1672","60570502080006_1",1,100,0,160,100,0,0,0,0,160,0,0,0,50,3,0,1,0,1,4,0,0,0,1,1,0,3,21,0,0,0,0,0,500,50000,1000,0,1000,1000,0,0,1,0,0,1000,0,0,0,1,0,0,0,1000,390.07896425,210.63480375,232.4356384,109.1632843,"60570502080006"
"1673","60570502080006_3",1,100,0,193.9393939,100,0,0,0,0,193.9393939,0,0,0,33,3,0,1,45,1,2,0,0,0,0,0,0,3,8,21,0,0,0,0,412.5,41250,1250,0,0,0,0,0,1,0,0,0,1250,0,1,0,0,0,0,1250,390.07896425,210.63480375,232.4356384,109.1632843,"60570502080006"
"1674","61210503080012_1",1,100,0,117.6470588,100,0,0,0,0,117.6470588,0,0,0,75,1,50,1,1,0,3,0,0,0,1,1,0,3,37,0,0,0,0,0,255,25500,340,0,340,340,0,0,1,0,0,0,0,0,0,0,0,0,0,340,424.37854005,228.3350525,291.08387755,92.168396,"61210503080012"
"1675","61210503080029_1",1,100,0,8.333333333,100,0,0,0,0,8.333333333,0,0,0,100,1,0,1,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,600,60000,600,0,0,0,0,0,1,0,0,600,0,0,0,1,0,0,0,600,424.4453125,228.14904785,291.0626831,92.0653076,"61210503080029"
"1676","61210802060039_1",1,100,0,7.5,100,0,0,0,0,7.5,0,0,0,100,6,0,1,2,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,4000,4e+05,4000,0,0,0,0,0,1,0,0,4000,0,0,0,1,0,0,0,4000,408.4680939,217.0343628,289.7281723,101.3588715,"61210802060039"
"1677","61210802060039_2",1,100,0,5,100,0,0,0,0,5,0,0,0,100,6,0,1,30,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,10000,1e+06,10000,0,0,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,10000,408.4680939,217.0343628,289.7281723,101.3588715,"61210802060039"
"1678","61210802060039_3",1,100,0,20.83333333,100,0,0,0,0,20.83333333,0,0,0,100,6,0,1,15,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,2400,240000,2400,0,0,0,0,0,1,0,0,2400,0,0,0,1,0,0,0,2400,408.4680939,217.0343628,289.7281723,101.3588715,"61210802060039"
"1679","61320301070011_1",1,100,0,40,100,0,0,0,0,0,40,0,0,100,1,0,1,30,1,2,0,0,0,1,0,1,3,0,0,0,0,0,0,100,10000,100,0,100,0,0,100,0,1,0,0,100,0,1,0,0,0,0,100,412.7510681,164.36963655,354.684433,106.5005264,"61320301070011"
"1680","61350705010032_1",1,100,0,57.14285714,100,0,0,0,0,0,57.14285714,0,0,70,3,20,1,1,0,3,0,0,0,0,1,0,2,3,0,0,0,0,0,700,70000,1000,0,0,1000,0,0,0,1,0,1000,0,0,0,1,0,0,0,1000,408.3857269,211.28134915,348.78083805,56.2385063,"61350705010032"
"1681","61350705010032_2",1,100,0,133.3333333,100,0,0,0,0,0,133.3333333,0,0,100,3,0,1,60,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,300,30000,300,0,0,300,0,0,0,1,0,0,0,300,0,0,0,1,0,300,408.3857269,211.28134915,348.78083805,56.2385063,"61350705010032"
